id,price_doc
30474,5496794.665569796
30475,7249269.499106441
30476,5240309.683682286
30477,5854629.764739011
30478,5228670.744646397
30479,9088909.335096348
30480,4465743.787725117
30481,4454898.066026255
30482,4306660.598782857
30483,5274439.01634181
30484,6813185.237022686
30485,5469337.347073166
30486,4365739.050177679
30487,4682474.398334853
30488,6184571.794282042
30489,5534247.595357497
30490,17649102.588573262
30491,14316300.433120057
30492,6118947.223175353
30493,11778198.79007356
30494,7550822.833466487
30495,10602749.578676261
30496,6533663.006817592
30497,7118578.4821717935
30498,4044532.259782609
30499,6039976.057833716
30500,12723517.859003672
30501,6477290.11848051
30502,3497310.30328912
30503,4240871.155631608
30504,5290800.583740159
30505,10757446.707463648
30506,2818072.898281224
30507,5135458.217719234
30508,5695071.009014623
30509,7002772.991099568
30510,9582611.042749846
30511,5782896.823393999
30512,6236111.088164086
30513,4385201.329382384
30514,3022544.9055383783
30515,9393389.922692114
30516,5871715.9796703225
30517,9668400.958678892
30518,6989534.222346225
30519,4332317.590003258
30520,8131996.297168694
30521,4326858.968255107
30522,7160153.948876947
30523,6351202.479984422
30524,8416049.978513394
30525,10923875.20559776
30526,5156421.143188873
30527,5189861.267767622
30528,6061649.892389918
30529,6363895.92238596
30530,6168513.9725252
30531,11131745.424263272
30532,4509696.756424605
30533,9438076.250666043
30534,7458483.282133295
30535,9513634.667624775
30536,5749560.623540314
30537,8873448.726907587
30538,5521420.353903059
30539,6061581.375483435
30540,9735710.788214263
30541,6248964.936275466
30542,2291326.0452776304
30543,5269610.057423167
30544,5870619.6930398075
30545,8078978.852542875
30546,4289248.282505294
30547,9538210.700077297
30548,4236125.618589303
30549,5571240.108772895
30550,7656555.272531118
30551,5616462.223871884
30552,2208162.992257056
30553,6883383.773537481
30554,8444472.243951542
30555,6100773.714448555
30556,9496323.697746279
30557,7227136.594987128
30558,9001217.823786862
30559,6364543.235417363
30560,6119736.72383327
30561,6498585.553397931
30562,12219238.993112545
30563,5000634.673078477
30564,6250833.835115995
30565,6957513.0790090365
30566,7207420.124788944
30567,2281047.3004100197
30568,11197944.757449059
30569,7911538.039701998
30570,6441646.777692135
30571,9101955.257156396
30572,5056010.361089776
30573,6692109.73060935
30574,5183646.116209722
30575,8510418.306338953
30576,4916356.553907724
30577,3728548.788286353
30578,2855495.2978136274
30579,7485919.930441584
30580,3959581.6093158335
30581,5618140.14896255
30582,12351800.004230393
30583,7390988.882758572
30584,4245313.5713292435
30585,3632265.0467785206
30586,9868687.794209275
30587,5924684.998802817
30588,8140772.525242097
30589,6890696.7083117375
30590,9410563.725668576
30591,4818823.086529728
30592,6214222.523109632
30593,7216810.256855019
30594,5870943.795281133
30595,6064458.584010568
30596,6694489.327401088
30597,6700858.040317043
30598,9901222.1541277
30599,10187880.595728902
30600,5419901.066336977
30601,5969178.138135871
30602,2247615.8775882707
30603,12029911.943432417
30604,4482321.031036238
30605,6932864.1501281075
30606,10727644.001627285
30607,5453047.49218809
30608,9182748.091780204
30609,5663637.029217329
30610,3334113.9097593883
30611,5654396.754889182
30612,7749429.67673674
30613,8390819.415291384
30614,15107803.721462728
30615,6439491.959502009
30616,5727398.3279759865
30617,7246285.902231519
30618,5115033.678458103
30619,4721730.591458402
30620,2825771.163664078
30621,8001425.175084776
30622,7719030.681300707
30623,5218842.093147501
30624,6376426.4588562595
30625,7172551.365824369
30626,5891327.243508077
30627,6029815.325732582
30628,6543397.133129757
30629,5386574.620903054
30630,4805534.506096261
30631,6388099.450043527
30632,4920197.558180787
30633,5264358.242660115
30634,9575970.881388037
30635,9791253.376221787
30636,5813729.993933519
30637,9036597.4514019
30638,6515778.319558508
30639,7560699.114329759
30640,4806418.217127346
30641,6995717.978371132
30642,6226647.210406997
30643,6193300.200524427
30644,9901222.1541277
30645,6773189.005732289
30646,4821988.372182688
30647,5006201.798410055
30648,13545896.932601707
30649,2775635.6171088996
30650,5029969.414221515
30651,2828387.632167473
30652,4834789.804273081
30653,6534434.21044267
30654,4349629.80487108
30655,18640843.8350497
30656,3885935.1572523457
30657,6109132.3420697
30658,9396182.611951353
30659,5372155.113219915
30660,8101222.469249156
30661,7476750.736016144
30662,8619485.602429815
30663,10258301.052494839
30664,9595399.762100328
30665,5611216.50386321
30666,2575683.4755275156
30667,4538627.738354448
30668,8576368.98579307
30669,4128847.2713314584
30670,2616112.916562272
30671,6892869.07289063
30672,19008247.22897669
30673,8534068.157334264
30674,12103568.590131266
30675,2291326.0452776304
30676,7603262.519309549
30677,4434672.2251887815
30678,9730258.089886988
30679,4632450.817422187
30680,5228470.211600333
30681,2565029.9804692585
30682,7363745.061261341
30683,9828696.302767456
30684,5106230.794579357
30685,5990560.219609828
30686,9250707.860884527
30687,5381342.476594806
30688,5272129.781309721
30689,13970776.894977396
30690,13674336.674621394
30691,5054030.389470981
30692,4583032.616399567
30693,12044860.623600783
30694,6661591.281895411
30695,6804885.252464243
30696,5925012.925389008
30697,10490284.640255446
30698,5131088.100225729
30699,5815081.714686925
30700,5201612.442345508
30701,9901222.1541277
30702,6374008.17306495
30703,3932740.7984857475
30704,12189925.02455067
30705,6943601.882512376
